Country,Year,Number below $1 a day,Number below $2.15 a day,Number below $3.65 a day,Number below $6.85 a day,Number below $10 a day,Number below $20 a day,Number below $30 a day,Number below $40 a day
East Asia and Pacific (PIP),2006,27642618,381095488,899419200,1456714880,1685448064,1861870976,1892727808,1902900480
East Asia and Pacific (PIP),2007,21084960,339110336,835536128,1406958720,1660488064,1867753856,1903918336,1915614208
East Asia and Pacific (PIP),2008,19140762,315192352,796565248,1375630080,1643687552,1873730304,1914709376,1928045952
East Asia and Pacific (PIP),2009,8563967,282791232,744113728,1326359680,1611650176,1875725440,1924107392,1939876608
East Asia and Pacific (PIP),2010,2729782,248371728,673840064,1254863616,1562114432,1871258368,1930531200,1949560192
East Asia and Pacific (PIP),2011,2513115,196950208,594960448,1198690560,1527052032,1873961344,1940882816,1962326400
East Asia and Pacific (PIP),2012,2152568,165565152,532247424,1134072832,1475772672,1867823744,1948559360,1975048192
East Asia and Pacific (PIP),2013,1822952,87159456,413436000,1035360128,1409130368,1854047488,1954581120,1987681024
East Asia and Pacific (PIP),2014,1547911,69630136,366293248,966340544,1355885440,1845658880,1961433344,1999733248
East Asia and Pacific (PIP),2015,1538536,47982504,309646720,901916608,1305079552,1835106432,1966235392,2009818240
East Asia and Pacific (PIP),2016,1427045,34177824,264799968,838699648,1255935232,1820323456,1968317568,2018731904
East Asia and Pacific (PIP),2017,1167746,24736234,227644528,791841216,1211876992,1806455040,1969297024,2025651712
East Asia and Pacific (PIP),2018,1217711,24097254,195350304,734114880,1158803328,1787478784,1967396352,2031371648
East Asia and Pacific (PIP),2019,1187716,20605832,152463456,682756352,1111457152,1769734400,1964542336,2034590080
East Asia and Pacific (PIP),2020,1296164,22254000,136137744,695977344,1143960064,1812420096,1992492288,2053858432
East Asia and Pacific (PIP),2021,1425017,22985748,124014328,589555264,1014541952,1751701376,1972467072,2048803456
East Asia and Pacific (PIP),2022,1356537,20283438,115244824,584210432,1008334016,1748131072,1973266688,2051487872
East Asia and Pacific (PIP),2023,1353048,19007742,109048792,557222336,972291584,1724054400,1964658176,2049601280
East Asia and Pacific (PIP),2024,1316371,17648544,103167560,529697184,936046144,1699673984,1955615744,2047297408
East Timor,2001,51210,365349,647774,836817,871696,890425,892831,892873
East Timor,2007,18126,416696,819528,996177,1013994,1018570,1019188,1019303
East Timor,2014,6697,289609,820205,1120967,1165980,1183113,1184421,1184599
Eastern and Southern Africa (PIP),1990,60827556,168084512,228918928,273969056,288930400,302595744,306155168,307650208
Eastern and Southern Africa (PIP),1991,67008300,177337312,237695584,282398400,297489408,311221120,314831936,316307296
Eastern and Southern Africa (PIP),1992,72660328,186364032,247305520,291661984,306436448,319819808,323306592,324758208
Eastern and Southern Africa (PIP),1993,78110280,195074768,258020240,302844992,317016960,329221344,332331840,333708352
Eastern and Southern Africa (PIP),1994,83737912,200849312,264921360,311197984,325763008,338132032,341216000,342580960
Eastern and Southern Africa (PIP),1995,83309232,203343360,270010272,318295328,333659808,346787488,350091712,351542880
Eastern and Southern Africa (PIP),1996,82962392,205497360,275361312,325789440,342079680,356004736,359477184,360961120
Eastern and Southern Africa (PIP),1997,85075584,210210048,282348288,334038528,350933920,365290304,368852960,370343264
Eastern and Southern Africa (PIP),1998,87272304,216104912,290832864,343242880,360315488,374809664,378351840,379791520
Eastern and Southern Africa (PIP),1999,88908904,221511280,300021568,353213344,370351424,384789792,388269184,389662496
Eastern and Southern Africa (PIP),2000,93243376,226290496,308339232,362993952,380350080,395014112,398483456,399834880
Eastern and Southern Africa (PIP),2001,94628360,230277536,316102912,372735360,390428672,405393088,408882272,410244640
Eastern and Southern Africa (PIP),2002,93984224,239095008,326289568,383010560,400594048,415538624,419212480,420700320
Eastern and Southern Africa (PIP),2003,91436328,241205904,335042688,394003328,411631872,426296992,430002176,431544224
Eastern and Southern Africa (PIP),2004,86694648,232735648,335756992,402864032,421350336,436788096,440674368,442511680
Eastern and Southern Africa (PIP),2005,84351032,229399792,337997408,411914496,431636960,447746784,451659616,453765344
Eastern and Southern Africa (PIP),2006,81001088,226808384,339848608,419168288,441173408,458839648,463152736,465365344
Eastern and Southern Africa (PIP),2007,78273776,226908944,345107616,428911488,452331328,471347424,475895264,478247232
Eastern and Southern Africa (PIP),2008,75261304,227139616,350401792,438422272,463666432,484185184,489054624,491451360
Eastern and Southern Africa (PIP),2009,77624072,232074096,359511104,450580288,476525792,497676608,502579968,505059328
Eastern and Southern Africa (PIP),2010,73755960,231276960,364378880,461089056,488550944,510879904,516082592,518625344
Eastern and Southern Africa (PIP),2011,70972088,230651152,369894048,472109120,501381152,524801952,530265440,532867968
Eastern and Southern Africa (PIP),2012,69299944,233356416,378797152,484882720,515173952,539301376,544892480,547562816
Eastern and Southern Africa (PIP),2013,68891208,236622432,387083648,497975296,529456096,554472896,560238720,562932224
Eastern and Southern Africa (PIP),2014,70325504,242314480,396425600,511192128,543972160,570026496,575973056,578737600
Eastern and Southern Africa (PIP),2015,73095344,250309152,406663904,524472672,558825024,585957440,592231808,595047616
Eastern and Southern Africa (PIP),2016,77819616,260231920,418778112,539943232,574910528,602326464,608558208,611415168
Eastern and Southern Africa (PIP),2017,82145384,269366368,430625440,555753920,591163264,618618816,624880256,627742720
Eastern and Southern Africa (PIP),2018,85933040,277888320,442208032,571937280,607742272,635294656,641726656,644613184
Eastern and Southern Africa (PIP),2019,90280792,287295296,454759840,588605056,624687232,652614976,659119424,662046144
Eastern and Southern Africa (PIP),2020,99703400,304763520,474120448,608761984,644202944,671250176,677343168,680229504
Eastern and Southern Africa (PIP),2021,100367040,310728032,485104480,623775808,659843648,688233600,694769536,697780672
Eastern and Southern Africa (PIP),2022,100075264,314038080,492793088,638058432,675917184,705570496,712363904,715478592
Eastern and Southern Africa (PIP),2023,101053328,322668640,505908576,654056128,692924672,723452032,730460672,733666112
Eastern and Southern Africa (PIP),2024,101900744,327413344,515302848,669059968,709713344,741686976,748987328,752276032
Ecuador,1994,755164,1943690,3976279,7357117,8939032,10522990,10924424,11089595
Ecuador,1999,1081120,2707688,5025667,8409644,9880539,11559469,11947022,12128761
Ecuador,2000,1116020,3554884,6335903,9585700,10872823,12002705,12292657,12421438
Ecuador,2003,583617,1970596,4088523,7676642,9671653,11971704,12597981,12922548
Ecuador,2004,651354,2038624,4383097,7986308,9946647,12236492,12866777,13148474
Ecuador,2005,469750,1625344,3511952,6973875,9148443,11974573,12854533,13219385
Ecuador,2006,261452,1142268,2821342,6421094,8718579,11981422,12979776,13396697
Ecuador,2007,329045,1214100,2790835,6396671,8786991,11977712,13052392,13558934
Ecuador,2008,335756,1089282,2686093,6131646,8699378,12242861,13341143,13854642
Ecuador,2009,257995,1077770,2609380,6361752,9015163,12606044,13703655,14166085
Ecuador,2010,198223,851139,2268259,5809171,8516353,12442561,13696818,14302459
Ecuador,2011,197706,711480,1877020,5285873,7911996,12290618,13841095,14499229
Ecuador,2012,163992,691068,1805962,4867247,7522478,12292895,13899488,14636939
Ecuador,2013,98023,509596,1600474,4909556,7679231,12357174,14047441,14784783
Ecuador,2014,79300,420591,1386197,4404786,7360724,12536906,14260086,15033419
Ecuador,2015,136323,557150,1545068,4664222,7604948,12616149,14492677,15222910
Ecuador,2016,117165,587720,1568893,4630111,7658403,12906981,14783691,15505401
Ecuador,2017,96765,536515,1483332,4519847,7411696,12941560,14879732,15681479
Ecuador,2018,91931,563472,1651709,4738837,7729244,13249383,15128427,15939345
Ecuador,2019,82534,621528,1713808,5153442,8153207,13514651,15495957,16299096
Ecuador,2020,183090,1146644,2530397,6089468,9583056,14495781,16085287,16752719
Ecuador,2021,89679,637725,1941945,5640080,8820791,14240159,16085836,16846968
Ecuador,2022,56901,572574,1706503,5387968,8469340,14106209,16107315,16998322
Ecuador,2023,21670,690953,1875256,5379576,8640318,14194278,16356446,17172556
Ecuador (urban),1987,319392,904371,1678592,3062179,3895751,4784976,4981150,5049638
Ecuador (urban),1995,367450,922254,2183650,4298319,5253879,6183991,6449225,6563728
Ecuador (urban),1998,329594,1132922,2599119,4649328,5668586,6704760,6995624,7119210
Egypt,1990,0,3028841,19623184,45673532,53184248,57093944,57624424,57787740
Egypt,1995,0,1327138,22125704,53373116,60897700,64463688,64928020,65069540
Egypt,1999,0,0,15036125,50061012,62926496,69640776,70496392,70752720
Egypt,2004,14785,2432744,22027388,60861744,71198456,76822936,77780608,78085848
Egypt,2008,1578,2419357,21919330,65246536,76902240,82812192,83702944,83987344
Egypt,2010,0,914981,15675754,62244952,77696264,86401336,87675448,87943944
Egypt,2012,0,821433,12641980,62542880,81364472,90506312,91724944,92088824
Egypt,2015,28862,885407,12892495,62990820,83641848,95094256,96750568,97209160
Egypt,2017,12714,2586332,22712328,74999456,92103968,101171288,102530672,102913832
Egypt,2019,37381,1561089,18754372,73170040,93118808,103933096,105342184,105885960
El Salvador,1989,524025,1024016,1721399,3082484,3967402,4926640,5130726,5199985
El Salvador,1991,517708,1204743,2139428,3596795,4328902,5106029,5299998,5367533
El Salvador,1995,274591,762170,1709016,3347916,4317012,5311911,5542002,5622076
El Salvador,1996,287718,884775,1785048,3459910,4328480,5330883,5581997,5671173
El Salvador,1998,646702,1237694,2022651,3407587,4307011,5363649,5629502,5753896
El Salvador,1999,499559,1021934,1798262,3278550,4197684,5332920,5650406,5770798
El Salvador,2000,267753,771202,1531064,3036990,4023590,5239752,5623354,5790678
El Salvador,2001,315304,844599,1644895,3137644,4104350,5299962,5663912,5815590
El Salvador,2002,346393,885393,1664611,3147846,4071386,5323862,5725311,5860562
El Salvador,2003,437177,953073,1712882,3228217,4209665,5435416,5765668,5890762
El Salvador,2004,260537,693398,1454232,3123607,4117616,5433722,5787352,5896092
El Salvador,2005,198215,680972,1463435,3128925,4159468,5419798,5773056,5901969
El Salvador,2006,60734,461673,1265035,3047459,4171719,5466806,5799172,5901012
El Salvador,2007,29377,306346,1012600,2853943,4044725,5432086,5767200,5900940
El Salvador,2008,44191,468306,1294277,3089972,4143490,5426977,5785400,5926836
El Salvador,2009,41568,451964,1261565,3076046,4281670,5544335,5836884,5933314
El Salvador,2010,34071,387974,1214123,3003970,4175410,5538901,5873507,5996289
El Salvador,2011,20250,327791,1128914,3066994,4286387,5632970,5938946,6040097
El Salvador,2012,23518,285708,990399,2903400,4224934,5648148,5953473,6050156
El Salvador,2013,13965,224213,880695,2643377,3998649,5536615,5914062,6048590
El Salvador,2014,9649,213700,853496,2652725,3997088,5552720,5944248,6078562
El Salvador,2015,6735,143866,714785,2504603,3895145,5608172,5970162,6101501
El Salvador,2016,7515,164575,747758,2421570,3781775,5583421,6006293,6128776
El Salvador,2017,7650,135078,606068,2276718,3695582,5611968,6040976,6163109
El Salvador,2018,6422,115658,561833,2070089,3450654,5452626,5986918,6142003
El Salvador,2019,2053,88043,413945,1805988,3181978,5317982,5894465,6111506
El Salvador,2021,71385,226438,550204,1793041,3037745,5315678,5924796,6134428
El Salvador,2022,69399,213118,547580,1741767,3025981,5288016,5953582,6164748
Estonia,1993,0,0,108653,468588,806007,1305868,1419048,1455161
Estonia,2003,16103,34398,75431,231673,458745,1056462,1245541,1310143
Estonia,2004,6331,14700,43307,148434,334026,994448,1227061,1305030
Estonia,2005,3139,10996,26367,103155,239838,874533,1157836,1260872
Estonia,2006,6204,11097,19251,61790,160896,743558,1075028,1220363
Estonia,2007,3126,5702,12080,39971,104879,591970,950887,1147772
Estonia,2008,2954,5164,12361,40085,103453,568188,936472,1136411
Estonia,2009,2600,7407,16247,53942,118795,587740,983951,1158724
Estonia,2010,6441,10548,23631,76653,163912,660009,1010106,1185803
Estonia,2011,7342,13004,21804,62500,144947,650976,984485,1155053
Estonia,2012,4548,9784,20292,54273,131224,601897,948730,1124976
Estonia,2013,8508,11330,21617,55792,130222,555331,883545,1069011
Estonia,2014,6341,10918,18117,52749,96973,461273,821191,1030211
Estonia,2015,4581,7893,12116,30170,75157,361830,748785,967353
Estonia,2016,3658,6185,8884,24043,57640,287217,681348,907846
Estonia,2017,2212,3540,7529,17526,42712,238487,628782,856243
Estonia,2018,2569,3288,6740,14321,35102,205125,574773,814086
Estonia,2019,3797,7390,11795,18653,33364,177384,538754,797138
Estonia,2020,2805,4636,6424,17819,33391,160750,494730,761083
Estonia,2021,2858,4116,5159,9377,22932,115641,418556,662988
Eswatini,1994,585177,814795,894258,932774,942377,949863,951598,952314
Eswatini,2000,174032,584081,795347,931423,975613,1020270,1033162,1036335
Eswatini,2009,182428,540680,764324,956044,1021089,1077678,1089899,1093853
Eswatini,2016,98162,412765,664097,893900,979734,1092049,1120566,1132699
Ethiopia,1995,11648634,40101608,51517400,56134044,57039712,57578764,57726908,57832040
Ethiopia,1999,4406448,38329260,59095352,64708108,65555476,65979932,66025516,66037336
Ethiopia,2004,788088,26411630,58825236,73539264,75220184,76190408,76314504,76352256
Ethiopia,2010,3062078,27838164,64584268,85088768,88424576,90190360,90424280,90474344
Ethiopia,2015,3505042,28032298,67550272,94438672,100134088,103333776,103704360,103820608
Ethiopia (rural),1981,5062943,23090118,30156658,31968740,32231220,32374126,32396810,32404262
Europe and Central Asia (PIP),1990,4338298,16865874,54203524,147033568,228493664,377843712,431629600,448807872
Europe and Central Asia (PIP),1991,4726312,19543318,60447376,159950000,244636064,394870880,439128160,453200096
Europe and Central Asia (PIP),1992,5602863,25679242,72254120,180057920,266830736,406600128,445010080,456789152
Europe and Central Asia (PIP),1993,5958198,29474344,83299984,207590800,297488096,422289664,451546400,460157056
Europe and Central Asia (PIP),1994,6965614,38150196,101797816,228495504,310828608,424740128,452644320,461294848
Europe and Central Asia (PIP),1995,7957078,38204500,92235248,202573696,288981088,417464992,450189984,460496192
Europe and Central Asia (PIP),1996,8461425,38155576,97535600,219433568,305621120,421586336,451787744,461494912
Europe and Central Asia (PIP),1997,9006836,35592512,87654016,208242400,299139584,422542784,454076352,463389856
Europe and Central Asia (PIP),1998,8823615,36437448,90857760,210690320,298944160,421475584,452817248,463083328
Europe and Central Asia (PIP),1999,9902361,47298600,116253200,246949072,327740768,433541088,459142240,465986560
Europe and Central Asia (PIP),2000,10953327,43145172,100834936,229290384,316182752,428364640,457020320,464758208
Europe and Central Asia (PIP),2001,9376027,39110236,90184744,214422080,303356000,422778176,454590176,463618880
Europe and Central Asia (PIP),2002,7618974,34821644,79894248,200354320,291750048,414856864,450861216,461660928
Europe and Central Asia (PIP),2003,9245660,34110068,75623408,192603328,282531200,406007744,444142976,457937600
Europe and Central Asia (PIP),2004,4551731,26045590,63165292,169803824,261043840,395529728,439162976,455810624
Europe and Central Asia (PIP),2005,3012483,22269004,57725792,153190224,245053824,389824608,435877696,453258080
Europe and Central Asia (PIP),2006,2097156,15553275,46817712,135970288,225506896,380130048,431819808,450805024
Europe and Central Asia (PIP),2007,1343648,10218493,36993912,117762640,204594144,367673184,424167456,445654176
Europe and Central Asia (PIP),2008,908031,6574896,27910992,97445800,179461776,353218464,417230432,443156160
Europe and Central Asia (PIP),2009,659892,5754215,24835794,97223624,182715440,359452416,421185248,446434080
Europe and Central Asia (PIP),2010,781896,5518578,22781288,90845752,172231264,349774560,418024768,445900064
Europe and Central Asia (PIP),2011,612747,4344642,19966852,83099728,163901392,346414496,417267872,445304224
Europe and Central Asia (PIP),2012,708601,4173766,18172878,78710656,158004000,341947296,415597984,444821632
Europe and Central Asia (PIP),2013,428476,3379319,15887665,71462712,148429008,337804160,414133312,445979200
Europe and Central Asia (PIP),2014,1082159,4900220,16853024,69466968,146040704,335496480,415045408,447765024
Europe and Central Asia (PIP),2015,699701,4106254,15723762,70322640,150665728,342002464,419372000,451941568
Europe and Central Asia (PIP),2016,762413,3254845,13134970,67511728,148219696,339972736,418185504,452564224
Europe and Central Asia (PIP),2017,799522,3535745,13024441,61432076,137549456,331795744,415926304,452624800
Europe and Central Asia (PIP),2018,311348,2154778,10196374,55953492,131395688,331949888,416692864,453210016
Europe and Central Asia (PIP),2019,263721,2263796,9959812,53294216,123207384,323115360,411519168,451706432
Europe and Central Asia (PIP),2020,460704,2594085,10593482,50855320,116626992,305463168,395684352,442463072
Europe and Central Asia (PIP),2021,515958,2655681,9212535,42539648,95716592,257317792,356444608,414815296
Europe and Central Asia (PIP),2022,456610,2421391,8549586,40272112,92395040,245949104,342887328,403001760
Europe and Central Asia (PIP),2023,440096,2360855,8057312,37932840,88019216,242187968,339901984,400998688
Europe and Central Asia (PIP),2024,421388,2246757,7674072,36403296,85150648,236730528,334326816,396236576
Fiji,2002,235,14333,108924,383909,576602,781894,830214,843921
Fiji,2008,0,9235,84445,359262,582045,811750,864444,880885
Fiji,2013,0,3323,54883,352833,578047,831622,883061,899021
Fiji,2019,0,12112,113520,483241,708835,894631,912865,917140
Finland,1987,0,0,0,11982,35701,480791,1997186,3452257
Finland,1991,0,0,0,12366,24934,300802,1528530,2995165
Finland,1995,0,0,0,12269,12269,408036,1991658,3485755
Finland,2000,0,0,0,12780,25362,400166,1526094,2897372
Finland,2003,1926,2569,4762,12409,32457,338449,1312108,2655027
Finland,2004,1287,2061,3746,8638,18387,285904,1163244,2497685
Finland,2005,2254,2902,5826,11615,18256,223445,1060297,2279934
Finland,2006,3525,4233,6447,11355,24663,257238,1019118,2242330
Finland,2007,2391,3371,5360,7284,19635,231928,936784,2091667
Finland,2008,715,2862,6756,11991,20524,227190,851335,2020561
Finland,2009,2120,2801,3383,7321,20407,203814,826891,1920819
Finland,2010,1530,2888,3765,8736,20458,207184,824659,1874966
Finland,2011,1982,2554,3499,6506,13154,201516,792747,1830503
Finland,2012,2655,2855,2954,9890,18586,172174,736921,1794058
Finland,2013,3258,4631,4971,9384,20939,190031,800416,1816880
Finland,2014,2242,3614,4187,8772,15694,176785,772030,1797673
Finland,2015,3120,3847,6191,11690,20012,178582,769817,1810805
Finland,2016,1691,2596,4522,11653,21231,144442,731478,1745989
Finland,2017,3455,3623,4704,7447,19491,166248,685568,1677864
Finland,2018,2377,3131,6173,10952,15568,155731,658346,1606162
Finland,2019,2094,2144,5520,8877,15923,157431,652782,1564220
Finland,2020,1293,1527,2117,4384,6661,119379,580729,1527596
Finland,2021,637,1183,2554,8032,11523,117903,627299,1480612
France,1970,0,0,127183,2067406,6073324,26379222,37627000,43705148
France,1975,0,133760,402170,1342107,3086629,17859456,32228964,40554280
France,1979,135899,135899,271960,678600,1777953,12453245,26965334,37368368
France,1984,139929,280930,280930,702591,1686034,11114212,24900732,36156444
France,1990,0,143687,143687,290082,725395,9280809,22346492,34681608
France,1996,0,148578,148578,445637,1036785,8364808,20166722,32119060
France,1997,0,147584,147584,299311,897111,8095154,19938628,31933972
France,1998,0,0,150206,300852,751410,7373142,18960170,30998954
France,1999,0,0,150854,302288,755553,7108392,18605062,30553896
France,2000,0,0,151714,304600,761073,6700510,17817622,29699048
France,2001,0,0,152837,152837,611980,6289592,17028678,28689084
France,2002,0,0,0,152395,308295,5254160,15762653,27816672
France,2003,14769,97966,124960,258782,589512,5709498,18564090,31552610
France,2004,12975,31186,69630,186147,361803,5198989,17537810,30625584
France,2005,18232,27206,33426,195136,456093,5285957,17068984,30968594
France,2006,9923,17580,34677,131719,426328,5829988,17833002,31500068
France,2007,7617,9519,31344,78844,203874,3546996,12214861,24221754
France,2008,4870,6240,13252,78786,214945,3634767,12560966,23854328
France,2009,8578,28699,77327,258623,395737,4174476,12169447,22935928
France,2010,23513,56833,90555,217988,400892,4016681,12707440,24311080
France,2011,0,16848,41868,143845,411080,3864189,12206121,23983304
France,2012,21411,40023,65056,203685,528658,3848195,12308291,23960446
France,2013,38993,39859,85009,133938,292570,3818976,12307705,24061972
France,2014,4545,12386,27640,102661,231240,3759589,12134389,23515264
France,2015,28173,88879,140047,225562,395729,3708912,11846246,22724782
France,2016,30725,38784,82002,167961,284335,3623275,11310547,22446474
France,2017,1598,10632,21252,67309,190767,3440352,11384152,22023990
France,2018,11840,14216,48550,95851,227807,3517207,10922791,21956726
France,2019,3055,34670,77989,278876,523210,4625662,13073213,23684248
France,2020,33375,77636,144918,292582,444050,3888580,12005815,22432926
France,2021,22841,38190,125687,344021,650533,4773314,12427631,22844342
Gabon,2005,6244,79973,306600,803226,1082460,1359036,1419446,1438569
Gabon,2017,4764,52834,174050,668275,1114061,1802355,2030111,2096604
Gambia,1998,536118,1004869,1200600,1308262,1335059,1352825,1355417,1355897
Gambia,2003,239804,800622,1161359,1435080,1512465,1566360,1574316,1576928
Gambia,2010,88377,579334,1156403,1676926,1825073,1912405,1930406,1936110
Gambia,2015,18991,304174,1014873,1844642,2105393,2235827,2261874,2269138
Gambia,2020,43615,444721,1213519,2078660,2359447,2541006,2565127,2573769
Georgia,1996,0,303953,895824,2335279,3351077,4271382,4419562,4464614
Georgia,1997,187063,817108,1769406,3214933,3843315,4264986,4322270,4341623
Georgia,1998,191951,719785,1669888,3143760,3771615,4172776,4223358,4235499
Georgia,1999,207028,905865,1957955,3308438,3810030,4096134,4139773,4149993
Georgia,2000,235175,933659,2023056,3327801,3753133,4025052,4061736,4070319
Georgia,2001,215473,923644,2102859,3353414,3742298,3973827,4000608,4006816
Georgia,2002,77235,504857,1410993,2893544,3498952,3911326,3959231,3973037
Georgia,2003,87339,511715,1417406,2843833,3466000,3896851,3939145,3946174
Georgia,2004,87669,485891,1285261,2750513,3412483,3877261,3914278,3922774
Georgia,2005,94691,502746,1374107,2796889,3402015,3843358,3882740,3893706
Georgia,2006,84107,488543,1380645,2821532,3405152,3819156,3865588,3875066
Georgia,2007,75569,548027,1459119,2861004,3427730,3792424,3840057,3851032
Georgia,2008,68873,478996,1312896,2702864,3309437,3766043,3820785,3839284
Georgia,2009,71246,462609,1307168,2689298,3296546,3736042,3791372,3803946
Georgia,2010,91546,543929,1353180,2673663,3273338,3698080,3758720,3777036
Georgia,2011,96530,503421,1249729,2593038,3199113,3665860,3727852,3744678
Georgia,2012,49112,397730,1105161,2443302,3087853,3621054,3695944,3715571
Georgia,2013,30537,300340,942302,2230523,2932624,3577042,3670879,3695754
Georgia,2014,22644,227890,819192,2118693,2882568,3561990,3679710,3702346
Georgia,2015,14811,181775,744084,2094733,2868993,3583388,3677602,3708390
Georgia,2016,14538,183146,748710,2097662,2875716,3568726,3681819,3707738
Georgia,2017,24274,232250,749741,2008087,2813039,3551265,3666530,3703518
Georgia,2018,21525,207162,729778,2008151,2832370,3584795,3679854,3706709
Georgia,2019,9763,180377,687118,2017372,2848135,3590041,3679874,3700681
Georgia,2020,23912,216173,795280,2168897,3019955,3620158,3696220,3713360
Georgia,2021,20630,203418,706653,2053306,2951074,3604998,3680479,3694687
Georgia,2022,15575,158485,556917,1770862,2682120,3568551,3679334,3700153
Germany,1991,0,0,0,186939,385306,4194141,18401396,34796920
Germany,1992,0,0,188732,188732,600841,3826794,16118672,33860024
Germany,1993,0,0,0,194126,394547,3630440,15796598,33461134
Germany,1994,160978,160978,160978,541684,1016844,4880898,17504342,34198836
Germany,1995,0,201285,201285,388668,804538,4491389,16945642,32667772
Germany,1996,0,0,201111,201111,403982,4094498,15152676,31939182
Germany,1997,0,0,201572,201572,612103,4302480,16814780,34041384
Germany,1998,0,0,0,201342,400849,3879923,14946716,31584562
Germany,1999,0,0,198334,198334,610259,3893586,14160245,29964940
Germany,2000,0,0,191688,191688,613430,3476638,13764727,28978276
Germany,2001,0,0,204110,204110,399092,3695684,13790738,30674764
Germany,2002,0,0,0,205005,598466,3701535,13188869,29066728
Germany,2003,0,0,189191,408418,606314,3918113,13613503,29299514
Germany,2004,0,0,0,204066,410762,3886174,13405855,29485466
Germany,2005,0,0,203060,203060,408199,4738694,15251992,30906244
Germany,2006,0,0,0,191489,410381,4113358,13794766,29860790
Germany,2007,0,0,0,198873,402232,3700517,13770840,29202022
Germany,2008,0,0,201624,201624,406142,3691178,13339728,28932674
Germany,2009,0,0,0,202882,404379,3678771,13294941,28049924
Germany,2010,0,0,201266,201266,405368,3475120,13075101,27189140
Germany,2011,0,0,0,192420,398028,3209775,12388426,27058836
Germany,2012,0,0,0,196490,400350,4217584,13469075,27326490
Germany,2013,0,0,0,196041,379306,3830556,13498667,27614562
Germany,2014,0,0,202028,202028,567250,4243372,13354491,26706886
Germany,2015,0,0,0,201141,405109,4081040,12456722,25315180
Germany,2016,0,0,202398,202398,408003,4116019,12138403,24489762
Germany,2017,0,202061,202061,410158,821765,3925632,11981565,23738260
Germany,2018,0,0,205383,205383,619298,3730562,10982465,22797818
Germany,2019,0,207383,207383,411897,622724,3733580,10801590,21389560
Germany,2020,202743,202743,202743,391730,1037417,3108462,9348163,18894866
Ghana,1987,2326568,8460852,12462896,14084755,14356900,14491234,14491234,14491234
Ghana,1988,2286231,8569019,12679420,14396285,14690554,14856415,14862062,14862062
Ghana,1991,3165056,10352867,14040978,15636387,15959180,16121706,16127692,16134067
Ghana,1998,3156757,10337902,14795245,17861682,18493120,18782274,18792018,18794378
Ghana,2005,2623178,9725133,16057219,20844964,21990528,22738594,22859218,22873474
Ghana,2012,1336846,7037056,14208889,22039798,24833042,27009896,27268654,27338652
Ghana,2016,2028051,7576500,14670956,23586356,27052140,29546016,29893852,29962884
Greece,1995,104725,183536,236722,501165,1344010,4382303,7019040,8603524
Greece,2000,53284,53284,105088,296401,755846,3592571,6239288,8292926
Greece,2003,41119,54454,72455,202727,433980,2630640,5226905,7344146
Greece,2004,55295,70314,111717,205349,435162,2382392,4986748,7042998
Greece,2005,22055,37199,58710,188572,419006,2448698,4931031,7074532
Greece,2006,28401,60911,98443,247448,503913,2507426,4930508,7112741
Greece,2007,42907,55161,82662,191750,389029,2178464,4556387,6901970
Greece,2008,31382,38157,59896,173341,358840,1943195,4478713,6781564
Greece,2009,57497,69600,74642,196214,406786,1962144,4378316,6578342
Greece,2010,80106,108218,145785,288803,582362,2757344,5454870,7638369
Greece,2011,95501,124699,222415,579255,1184015,3860374,6766748,8714973
Greece,2012,52602,160807,312602,797090,1667868,4855957,7835540,9395763
Greece,2013,25294,104737,290257,904877,1742085,5171846,8009432,9482372
Greece,2014,82394,164823,317129,839087,1693650,5186540,7964700,9443528
Greece,2015,83047,148256,303785,842343,1701582,5036142,7757654,9343196
Greece,2016,56010,111984,219612,687807,1512702,4816728,7707598,9257441
Greece,2017,43939,93864,171534,572710,1303043,4669162,7651956,9239071
Greece,2018,13230,14979,30213,391994,1069768,4397336,7343384,9066138
Greece,2019,41454,73931,135951,419680,928431,3955097,6891046,8737310
Greece,2020,45779,86284,166328,416090,1003908,3826334,6848170,8627230
Greece,2021,33801,59937,118237,308388,721160,3399035,6272980,8178002
Grenada,2018,0,388,1594,16801,35695,82345,98425,107216
Guatemala,1986,1912159,4084932,5748394,7192499,7676744,8072720,8156304,8186713
Guatemala,1989,1520972,3257778,4871300,6739668,7570426,8406819,8614288,8694247
Guatemala,1998,257266,1624125,3296522,6112534,7859934,10005220,10573548,10789059
Guatemala,2000,292095,1113518,2715878,5792920,7840314,10128577,10808424,11054962
Guatemala,2006,291602,1539367,3334664,6424641,8561239,11433034,12279988,12657190
Guatemala,2014,211439,1457361,3958249,8479753,11140320,14052034,14779281,14999913
Guinea,1991,4062590,5819464,6413756,6615734,6615734,6615734,6615734,6615734
Guinea,1994,696002,2999680,4876332,6397928,6868070,7186706,7242936,7264003
Guinea,2002,1291963,4601652,6809125,8106020,8400687,8565734,8596756,8620833
Guinea,2007,990412,4594990,7139017,8871880,9318119,9522656,9541348,9545383
Guinea,2012,300631,2647992,6444034,9763464,10456968,10740075,10774552,10780752
Guinea,2018,68502,1757392,5925274,11034014,12232871,12700521,12715036,12716202
Guinea-Bissau,1991,212367,420978,621031,830963,907768,970610,983440,988012
Guinea-Bissau,1993,88948,446297,734769,957658,1012269,1047437,1052643,1053614
Guinea-Bissau,2002,131230,683551,1062311,1244786,1271082,1282712,1284589,1285460
